"","Provider Name","County","State","Ownership Type","CMS Provider Number"
"625","PALMS CARE CENTER","Broward","FL","For profit","105336"
"626","PARK SUMMIT AT CORAL SPRINGS","Broward","FL","For profit","105503"
"627","POMPANO HEALTH AND REHABILITATION CENTER","Broward","FL","Non profit","105572"
"628","SOLARIS HEALTHCARE COCONUT CREEK","Broward","FL","Non profit","105979"
"629","SPRINGTREE REHABILITATION & HEALTH CARE CENTER","Broward","FL","For profit","105686"
"630","ST JOHNS NURSING CENTER","Broward","FL","Non profit","105371"
"631","SUNRISE HEALTH & REHABILITATION CENTER","Broward","FL","For profit","105441"
"632","TAMARAC REHABILITATION AND HEALTH CENTER","Broward","FL","For profit","105360"
"633","DOUGLAS JACOBSON STATE VETERANS NURSING HOME","Charlotte","FL","Government","106059"
"634","HARBOUR HEALTH CENTER","Charlotte","FL","For profit","105538"
"635","LIFE CARE CENTER OF PUNTA GORDA","Charlotte","FL","For profit","105289"
"636","PORT CHARLOTTE REHABILITATION CENTER","Charlotte","FL","For profit","105524"
"637","SIGNATURE HEALTHCARE OF PORT CHARLOTTE","Charlotte","FL","For profit","105363"
"638","GOVERNORS CREEK HEALTH AND REHABILITATION","Clay","FL","For profit","105663"
"639","HEARTLAND HEALTH CARE CENTER ORANGE PARK","Clay","FL","Non profit","105692"
"640","ISLE HEALTH & REHABILITATION CENTER","Clay","FL","For profit","106065"
"641","LIFE CARE CENTER AT WELLS CROSSING","Clay","FL","For profit","105962"
"642","MANORCARE NURSING AND REHABILITATION CENTER","Collier","FL","Non profit","105421"
"643","DESOTO HEALTH AND REHAB","De Soto","FL","For profit","106070"
"644","CATHEDRAL GERONTOLOGY CENTER, INC","Duval","FL","Non profit","105834"
"645","HARTS HARBOR HEALTH CARE CENTER","Duval","FL","For profit","105632"
"646","JACKSONVILLE NURSING AND REHAB CENTER","Duval","FL","For profit","105710"
"647","LANIER REHABILITATION CENTER","Duval","FL","For profit","105666"
"648","PALM GARDEN OF JACKSONVILLE","Duval","FL","For profit","105682"
"649","TAYLOR CARE CENTER","Duval","FL","Non profit","105821"
"650","ARCADIA HEALTH & REHABILITATION CENTER","Escambia","FL","For profit","105532"
"651","BAYSIDE HEALTH AND REHABILITATION CENTER","Escambia","FL","For profit","105267"
"652","OLIVE BRANCH HEALTH AND REHAB CENTER","Escambia","FL","For profit","106117"
"653","REHABILITATION CENTER AT PARK PLACE","Escambia","FL","For profit","105628"
"654","ROSEWOOD HEALTHCARE AND REHABILITATION CENTER","Escambia","FL","For profit","105747"
"655","SOUTHERN OAKS CARE CENTER","Escambia","FL","For profit","106051"
"656","SPECIALTY HEALTH AND REHABILITATION CENTER","Escambia","FL","For profit","105751"
"657","CLEWISTON NURSING & REHABILITATION","Hendry","FL","For profit","105462"
"658","OAKBROOK HEALTH AND REHABILITATION CENTER","Hendry","FL","For profit","105683"
"659","PALMS OF SEBRING, THE","Highlands","FL","Non profit","105037"
"660","BRISTOL AT TAMPA REHAB AND NURSING CENTER LLC","Hillsborough","FL","For profit","105140"
"661","PLAZA WEST","Hillsborough","FL","For profit","105866"
"662","BONIFAY NURSING AND REHAB CENTER","Holmes","FL","For profit","105624"
"663","PALM GARDEN OF VERO BEACH","Indian River","FL","For profit","105592"
"664","CROSS LANDINGS HEALTH AND REHABILITATION CENTER","Jefferson","FL","For profit","105802"
"665","ADVENTHEALTH CARE CENTER WATERMAN","Lake","FL","Non profit","106119"
"666","LAKE EUSTIS HEALTH AND REHABILITATION CENTER","Lake","FL","For profit","105001"
"667","CONSULATE HEALTH CARE OF NORTH FORT MYERS","Lee","FL","For profit","105507"
"668","FORT MYERS REHABILITATION AND NURSING CENTER","Lee","FL","For profit","105427"
"669","HEALTHPARK CARE CENTER","Lee","FL","For profit","105779"
"670","HEARTLAND HEALTH CARE CENTER FORT MYERS","Lee","FL","Non profit","105723"
"671","LEHIGH ACRES HEALTH AND REHABILITATION CENTER","Lee","FL","For profit","105522"
"672","LIFE CARE CENTER OF ESTERO","Lee","FL","For profit","106057"
"673","MANORCARE HEALTH SERVICES","Lee","FL","Non profit","106020"
"674","REHAB & HEALTHCARE CENTER OF CAPE CORAL","Lee","FL","Non profit","105342"
"675","SHELL POINT NURSING PAVILION","Lee","FL","Non profit","105966"
"676","SIGNATURE HEALTHCARE AT COLLEGE PARK","Lee","FL","For profit","105387"
"677","WINKLER COURT","Lee","FL","Non profit","105882"
"678","WILLISTON CARE CENTER","Levy","FL","For profit","105467"
"679","LAKE PARK OF MADISON NURSING AND REHABILITATION CE","Madison","FL","For profit","105892"
"680","BAY VUE NURSING AND REHABILITATION CENTER","Manatee","FL","For profit","105551"
"681","BRADEN RIVER REHABILITATION CENTER LLC","Manatee","FL","For profit","105045"
"682","BRADENTON HEALTH CARE","Manatee","FL","For profit","106017"
"683","CASA MORA REHABILITATION AND EXTENDED CARE","Manatee","FL","Non profit","105327"
"684","MANATEE SPRINGS REHABILITATION AND NURSING CENTER","Manatee","FL","For profit","105525"
"685","RIVIERA PALMS REHABILITATION CENTER","Manatee","FL","For profit","105603"
"686","WESTMINSTER POINT PLEASANT","Manatee","FL","Non profit","106030"
"687","PALM GARDEN OF OCALA","Marion","FL","For profit","105562"
"688","SALERNO BAY HEALTH AND REHABILITATION CENTER","Martin","FL","For profit","105509"
"689","TERRACE AT HOBE SOUND, THE","Martin","FL","For profit","105300"
"690","AVENTURA REHAB AND NURSING CENTER","Miami-Dade","FL","For profit","105331"
"691","CLARIDGE HOUSE NURSING & REHABILITATION CENTER","Miami-Dade","FL","For profit","105513"
"692","CORAL GABLES NURSING AND REHABILITATION CENTER","Miami-Dade","FL","For profit","105005"
"693","CROSS GARDENS CARE CENTER","Miami-Dade","FL","For profit","105765"
"694","EAST RIDGE RETIREMENT VILLAGE INC","Miami-Dade","FL","Non profit","105508"
"695","FLORIDEAN NURSING AND REHABILITATION CENTER, THE","Miami-Dade","FL","For profit","106007"
"696","FOUNTAIN MANOR HEALTH & REHABILITATION CENTER","Miami-Dade","FL","For profit","105172"
"697","FRANCO NURSING & REHABILITATION CENTER","Miami-Dade","FL","For profit","105903"
"698","GOLDEN GLADES NURSING AND REHABILITATION CENTER","Miami-Dade","FL","For profit","106131"
"699","HARMONY HEALTH CENTER","Miami-Dade","FL","For profit","686124"
"700","HIALEAH NURSING AND REHABILITATION CENTER","Miami-Dade","FL","For profit","105803"
"701","JACKSON MEMORIAL LONG TERM CARE CENTER","Miami-Dade","FL","Government","105392"
"702","JACKSON PLAZA NURSING AND REHABILITATION CENTER","Miami-Dade","FL","Non profit","106034"
"703","KRYSTAL BAY NURSING AND REHABILITATION","Miami-Dade","FL","For profit","105120"
"704","MIAMI JEWISH HEALTH SYSTEMS, INC","Miami-Dade","FL","Non profit","105030"
"705","MIAMI SHORES NURSING AND REHAB CENTER","Miami-Dade","FL","For profit","105449"
"706","NORTH BEACH REHABILITATION CENTER","Miami-Dade","FL","For profit","105217"
"707","NORTH DADE NURSING AND REHABILITATION CENTER","Miami-Dade","FL","For profit","106133"
"708","NSPIRE HEALTHCARE MIAMI LAKES","Miami-Dade","FL","For profit","105709"
"709","PALACE AT KENDALL NURSING AND REHABILITATION CENTE","Miami-Dade","FL","For profit","105719"
"710","PALM GARDEN OF AVENTURA","Miami-Dade","FL","For profit","105610"
"711","PALMETTO CARE CENTER","Miami-Dade","FL","For profit","105575"
"712","PALMETTO SUBACUTE CARE CENTER","Miami-Dade","FL","For profit","105939"
"713","PINECREST REHABILITATION CENTER","Miami-Dade","FL","For profit","105153"
"714","PINES NURSING HOME","Miami-Dade","FL","For profit","105057"
"715","PONCE PLAZA NURSING & REHABILITATION CENTER","Miami-Dade","FL","Non profit","106021"
"716","REGENTS PARK AT AVENTURA","Miami-Dade","FL","For profit","105596"
"717","RIVERSIDE CARE CENTER","Miami-Dade","FL","For profit","105432"
"718","RIVIERA HEALTH RESORT","Miami-Dade","FL","For profit","106094"
"719","SANDS AT SOUTH BEACH CARE CENTER, THE","Miami-Dade","FL","For profit","105229"
"720","SIGNATURE HEALTHCARE CENTER OF WATERFORD","Miami-Dade","FL","For profit","105554"
"721","SINAI PLAZA NURSING & REHAB CENTER","Miami-Dade","FL","Non profit","105711"
"722","SOUTH DADE NURSING AND REHABILITATION CENTER","Miami-Dade","FL","For profit","106132"
"723","ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC","Miami-Dade","FL","Non profit","105560"
"724","SUSANNA WESLEY HEALTH CENTER","Miami-Dade","FL","Non profit","105498"
"725","TREASURE ISLE CARE CENTER","Miami-Dade","FL","Non profit","105408"
"726","UNITY HEALTH AND REHABILITATION CENTER","Miami-Dade","FL","For profit","105510"
"727","UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER","Miami-Dade","FL","Non profit","106100"
"728","VI AT AVENTURA","Miami-Dade","FL","For profit","106076"
"729","VILLA MARIA NURSING CENTER","Miami-Dade","FL","Non profit","105232"
"730","WEST GABLES HEALTH CARE CENTER","Miami-Dade","FL","For profit","105623"
"731","LIFE CARE CENTER OF HILLIARD","Nassau","FL","For profit","105756"
"732","FORT WALTON REHABILITATION CENTER, LLC","Okaloosa","FL","For profit","105295"
"733","MANOR AT BLUE WATER BAY, THE","Okaloosa","FL","For profit","105784"
"734","OKEECHOBEE HEALTH CARE FACILITY","Okeechobee","FL","For profit","105484"
"735","ADVENTHEALTH CARE CENTER ORLANDO NORTH","Orange","FL","Non profit","106024"
"736","COMMONS AT ORLANDO LUTHERAN TOWERS","Orange","FL","Non profit","105731"
"737","GUARDIAN CARE NURSING & REHABILITATION CENTER","Orange","FL","Non profit","105797"
"738","HUNTERS CREEK NURSING AND REHAB CENTER","Orange","FL","For profit","105987"
"739","PALM GARDEN OF ORLANDO","Orange","FL","For profit","105577"
"740","ROSEWOOD HEALTH AND REHABILITATION CENTER","Orange","FL","For profit","105480"
"741","TERRACE OF KISSIMMEE, THE","Osceola","FL","For profit","105839"
"742","TERRACE OF ST CLOUD, THE","Osceola","FL","For profit","105528"
"743","ABBEY DELRAY","Palm Beach","FL","Non profit","105335"
"744","ADDINGTON PLACE AT WELLINGTON GREEN","Palm Beach","FL","For profit","106091"
"745","AVANTE AT LAKE WORTH, INC.","Palm Beach","FL","For profit","105372"
"746","BARRINGTON TERRACE OF BOYNTON BEACH","Palm Beach","FL","For profit","105850"
"747","BOULEVARD REHABILITATION CENTER","Palm Beach","FL","For profit","105067"
"748","BOYNTON BEACH REHABILITATION CENTER","Palm Beach","FL","For profit","105837"
"749","ENCORE AT BOCA RATON REHABILITATION AND NURSING CE","Palm Beach","FL","For profit","105506"
"750","GARDENS COURT","Palm Beach","FL","For profit","105921"
"751","HAMLIN PLACE OF BOYNTON BEACH","Palm Beach","FL","Non profit","105485"
"752","HARBOURS EDGE","Palm Beach","FL","Non profit","105598"
"753","HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF","Palm Beach","FL","Non profit","105852"
"754","HEARTLAND HEALTH CARE CENTER BOYNTON BEACH","Palm Beach","FL","Non profit","105755"
"755","HEARTLAND HEALTH CARE CENTER PROSPERITY OAKS","Palm Beach","FL","Non profit","105762"
"756","JOSEPH L MORSE HEALTH CENTER INC THE","Palm Beach","FL","Non profit","105801"
"757","LAKE VIEW CARE CENTER AT DELRAY","Palm Beach","FL","For profit","105475"
"758","MANORCARE HEALTH SERVICES","Palm Beach","FL","Non profit","106005"
"759","MANORCARE HEALTH SERVICES BOYNTON BEACH","Palm Beach","FL","Non profit","105496"
"760","MANORCARE HEALTH SERVICES WEST PALM BEACH","Palm Beach","FL","For profit","105911"
"761","MEDICANA NURSING AND REHAB CENTER","Palm Beach","FL","For profit","105259"
"762","NORTH LAKE CARE CENTER","Palm Beach","FL","For profit","105640"
"763","PALM GARDEN OF WEST PALM BEACH","Palm Beach","FL","For profit","105607"
"764","REGENTS PARK NURSING & REHABILITATION CENTER","Palm Beach","FL","For profit","105476"
"765","REHABILITATION CENTER OF THE PALM BEACHES,THE","Palm Beach","FL","Non profit","105039"
"766","RENAISSANCE HEALTH AND REHABILITATION","Palm Beach","FL","For profit","105558"
"767","STRATFORD COURT OF BOCA RATON","Palm Beach","FL","For profit","105851"
"768","TERRACES OF LAKE WORTH CARE CENTER","Palm Beach","FL","For profit","105125"
"769","VI AT LAKESIDE VILLAGE","Palm Beach","FL","For profit","105968"
"770","WILLOWBROOKE COURT AT ST ANDREWS","Palm Beach","FL","Non profit","105355"
"771","WOOD LAKE HEALTH AND REHABILITATION CENTER","Palm Beach","FL","For profit","105611"
"772","ROYAL OAK NURSING CENTER","Pasco","FL","Non profit","105385"
"773","BAY TREE CENTER","Pinellas","FL","For profit","105394"
"774","BELLEAIR HEALTH CARE CENTER","Pinellas","FL","For profit","105636"
"775","CONSULATE HEALTH CARE OF SAFETY HARBOR","Pinellas","FL","For profit","105549"
"776","CONSULATE HEALTH CARE OF ST PETERSBURG","Pinellas","FL","For profit","105895"
"777","FREEDOM SQUARE REHABILITATION & NURSING SERVICES","Pinellas","FL","For profit","106042"
"778","HIGHLAND PINES REHABILITATION CENTER","Pinellas","FL","Non profit","105690"
"779","LAKESIDE OAKS CARE CENTER","Pinellas","FL","For profit","105132"
"780","MANORCARE HEALTH SERVICES DUNEDIN","Pinellas","FL","Non profit","105436"
"781","MORTON PLANT REHABILITATION CENTER","Pinellas","FL","Non profit","105128"
"782","PALM GARDEN OF CLEARWATER","Pinellas","FL","For profit","105581"
"783","PALM GARDEN OF LARGO","Pinellas","FL","For profit","105574"
"784","PINELLAS POINT NURSING AND REHAB CENTER","Pinellas","FL","For profit","105878"
"785","SEMINOLE PAVILION REHABILITATION & NURSING SERVICE","Pinellas","FL","For profit","105412"
"786","SOUTH HERITAGE HEALTH & REHABILITATION CENTER","Pinellas","FL","Non profit","105117"
"787","ST MARK VILLAGE","Pinellas","FL","Non profit","105378"
"788","STRATFORD COURT OF PALM HARBOR","Pinellas","FL","For profit","105758"
"789","TIERRA PINES CENTER","Pinellas","FL","For profit","105398"
"790","CONSULATE HEALTH CARE OF LAKELAND","Polk","FL","For profit","105482"
"791","HIGHLANDS LAKE CENTER","Polk","FL","For profit","105620"
"792","LAKELAND HILLS CENTER","Polk","FL","Non profit","105283"
"793","PALM GARDEN OF WINTER HAVEN","Polk","FL","For profit","105566"
"794","BAY BREEZE HEALTH AND REHABILITATION CENTER","Sarasota","FL","For profit","105443"
"795","BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER","Sarasota","FL","For profit","105416"
"796","CONSULATE HEALTH CARE OF SARASOTA","Sarasota","FL","For profit","105983"
"797","CROSSBREEZE CARE CENTER","Sarasota","FL","For profit","105774"
"798","GLENRIDGE ON PALMER RANCH INC.","Sarasota","FL","Non profit","106063"
"799","MAGNOLIA HEALTH AND REHABILITATION CENTER","Sarasota","FL","For profit","106032"
"800","PINES OF SARASOTA","Sarasota","FL","Non profit","105147"
"801","SARASOTA POINT REHABILITATION CENTER","Sarasota","FL","For profit","106102"
"802","SPRINGS AT LAKE POINTE WOODS","Sarasota","FL","For profit","105567"
"803","SUNNYSIDE NURSING HOME","Sarasota","FL","Non profit","106053"
"804","TARPON POINT NURSING AND REHABILITATION CENTER","Sarasota","FL","For profit","105702"
"805","VILLAGE ON THE ISLE","Sarasota","FL","Non profit","105472"
"806","ADVENTHEALTH CARE CENTER APOPKA SOUTH","Seminole","FL","Non profit","105353"
"807","CONSULATE HEALTH CARE AT WEST ALTAMONTE","Seminole","FL","For profit","105843"
"808","EMERALD HEALTH CARE CENTER","St. Lucie","FL","For profit","105579"
"809","OSPREY POINT NURSING CENTER","Sumter","FL","For profit","106008"
"810","SUWANNEE HEALTH AND REHABILITATION CENTER","Suwannee","FL","For profit","105613"
"811","AVANTE AT ORMOND BEACH, INC","Volusia","FL","For profit","105310"
"812","COQUINA CENTER","Volusia","FL","For profit","105589"
"813","DEBARY HEALTH AND REHABILITATION CENTER","Volusia","FL","For profit","105514"
"814","DELTONA HEALTH CARE","Volusia","FL","For profit","105447"
"815","MAJESTIC OAKS","Volusia","FL","Non profit","105374"
"816","PARKSIDE HEALTH AND REHABILITATION CENTER","Volusia","FL","For profit","105145"
"817","EDEN SPRINGS NURSING AND REHAB CENTER","Wakulla","FL","For profit","105282"
"818","CHAUTAUQUA REHABILITATION AND NURSING CENTER","Walton","FL","For profit","105626"
"819","APPLING NURSING AND REHABILITATION PAVILION","Appling","GA","Non profit","115262"
"820","TWIN OAKS CONVALESCENT CENTER","Bacon","GA","Non profit","115513"
"821","BOSTICK NURSING CENTER","Baldwin","GA","For profit","115732"
"822","GREEN ACRES HEALTH AND REHABILITATION","Baldwin","GA","Non profit","115578"
"823","WINDER HEALTH CARE & REHAB CTR","Barrow","GA","For profit","115536"
"824","MAPLE RIDGE HEALTH CARE CENTER","Bartow","GA","For profit","115543"
"825","TOWNSEND PARK HEALTH AND REHABILITATION","Bartow","GA","Non profit","115461"
"826","ARCHWAY TRANSITIONAL CARE CENTER","Bibb","GA","Non profit","115728"
"827","MACON REHABILITATION AND HEALTHCARE","Bibb","GA","For profit","115362"
"828","PRUITTHEALTH - EASTSIDE","Bibb","GA","For profit","115391"
"829","PRUITTHEALTH - MACON","Bibb","GA","For profit","115288"
"830","ZEBULON PARK HEALTH AND REHABILITATION","Bibb","GA","Non profit","115295"
"831","BAYVIEW NURSING HOME","Brantley","GA","For profit","115593"
"832","PRESBYTERIAN HOME, QUITMAN, IN","Brooks","GA","Non profit","115498"
"833","BRYAN COUNTY HLTH & REHAB CTR","Bryan","GA","For profit","115621"
"834","WESTWOOD HEALTHCARE AND REHABILITATION","Bulloch","GA","For profit","115601"
"835","WESTBURY MEDICAL CARE AND REHAB","Butts","GA","For profit","115563"
"836","CALHOUN NURSING HOME","Calhoun","GA","Government","115264"
"837","SENIOR CARE CENTER - ST MARYS","Camden","GA","Non profit","115684"
"838","ORCHARD HEALTH AND REHABILITATION","Candler","GA","Non profit","115522"
"839","PLEASANT VIEW NURSING CENTER","Candler","GA","For profit","115411"
"840","CARROLLTON MANOR, INCORPORATED","Carroll","GA","For profit","115638"
"841","CARROLLTON NURSING & REHAB CTR","Carroll","GA","For profit","115368"
"842","PINE KNOLL NURSING & REHAB CTR","Carroll","GA","For profit","115443"
"843","FOLKSTON PARK CARE AND REHABILITATION CENTER","Charlton","GA","For profit","115630"
"844","PRUITTHEALTH - SAVANNAH","Chatham","GA","For profit","115339"
"845","BRIAN CENTER HEALTH & REHABILITATION/CANTON","Cherokee","GA","For profit","115508"
"846","CANTON NURSING CENTER","Cherokee","GA","For profit","115606"
"847","WOODSTOCK NURSING & REHAB CTR","Cherokee","GA","For profit","115421"
"848","OAKS - ATHENS SKILLED NURSING, THE","Clarke","GA","For profit","115419"
"849","PRUITTHEALTH - GRANDVIEW","Clarke","GA","For profit","115631"
"850","UNIVERSITY NURSING & REHAB CTR","Clarke","GA","For profit","115467"
"851","FORT GAINES HEALTH AND REHAB","Clay","GA","For profit","115696"
"852","JONESBORO NURSING AND REHABILITATION CENTER","Clayton","GA","For profit","115545"
"853","LAKE CITY NURSING AND REHABILITATION CENTER LLC","Clayton","GA","For profit","115535"
"854","RIVERDALE CENTER FOR NURSING AND HEALING","Clayton","GA","For profit","115144"
"855","A.G. RHODES HOME, INC - COBB","Cobb","GA","Non profit","115521"
"856","ANDERSON MILL HEALTH AND REHABILITATION CENTER","Cobb","GA","For profit","115145"
"857","AUTUMN BREEZE HEALTH AND REHAB","Cobb","GA","For profit","115580"
"858","DELMAR GARDENS OF SMYRNA","Cobb","GA","For profit","115330"
"859","MANOR CARE REHABILITATION CENTER - MARIETTA","Cobb","GA","Non profit","115283"
"860","POWDER SPRINGS TRANSITIONAL CARE AND REHAB","Cobb","GA","For profit","115538"
"861","PRESBYTERIAN VILLAGE","Cobb","GA","Non profit","115490"
"862","PRUITTHEALTH - AUSTELL","Cobb","GA","For profit","115314"
"863","PRUITTHEALTH - MARIETTA","Cobb","GA","For profit","115276"
"864","ROSELANE HEALTH AND REHABILITATION CENTER","Cobb","GA","For profit","115660"
"865","ROSS MEMORIAL HEALTH CARE CTR","Cobb","GA","For profit","115515"
"866","ROSWELL NURSING & REHAB CENTER","Cobb","GA","For profit","115422"
"867","SIGNATURE HEALTHCARE AT TOWER ROAD","Cobb","GA","For profit","115115"
"868","SIGNATURE HEALTHCARE OF MARIETTA","Cobb","GA","For profit","115206"
"869","VISTA PARK HEALTH AND REHABILITATION","Coffee","GA","Non profit","115611"
"870","LAKE CROSSING HEALTH CENTER","Columbia","GA","For profit","115424"
"871","UNIVERSITY EXTENDED CARE/WESTW","Columbia","GA","Non profit","115336"
"872","ANSLEY PARK HEALTH AND REHABILITATION","Coweta","GA","Non profit","115722"
"873","AVALON HEALTH AND REHABILITATION","Coweta","GA","For profit","115528"
"874","NEWNAN HEALTH AND REHABILITATION","Coweta","GA","Non profit","115138"
"875","CORDELE HEALTH AND REHABILITATION","Crisp","GA","Government","115429"
"876","CRISP REGIONAL NSG & REHAB CTR","Crisp","GA","Non profit","115568"
"877","DADE HEALTH AND REHAB","Dade","GA","For profit","115558"
"878","A.G. RHODES HOME WESLEY WOODS","De Kalb","GA","Non profit","115002"
"879","BRIARWOOD HEALTH AND REHABILITATION CENTER","De Kalb","GA","For profit","115322"
"880","BUDD TERRACE AT WESLEY WOODS","De Kalb","GA","Non profit","115682"
"881","EAST LAKE ARBOR","De Kalb","GA","For profit","115482"
"882","FOUNTAINVIEW CTR FOR ALZHEIMER","De Kalb","GA","For profit","115697"
"883","GLENWOOD HEALTH AND REHABILITATION CENTER","De Kalb","GA","For profit","115025"
"884","GRACE HEALTHCARE OF TUCKER","De Kalb","GA","For profit","115596"
"885","LENBROOK","De Kalb","GA","Non profit","115296"
"886","MANOR CARE REHABILITATION CENTER - DECATUR","De Kalb","GA","Non profit","115246"
"887","MEADOWBROOK HEALTH AND REHAB","De Kalb","GA","For profit","115561"
"888","NORTH DECATUR HEALTH AND REHABILITATION CENTER","De Kalb","GA","For profit","115012"
"889","PRUITTHEALTH - BROOKHAVEN","De Kalb","GA","For profit","115313"
"890","PRUITTHEALTH - VIRGINIA PARK","De Kalb","GA","For profit","115531"
"891","ROSEMONT AT STONE MOUNTAIN","De Kalb","GA","For profit","115565"
"892","SANDY SPRINGS HEALTH AND REHABILITATION","De Kalb","GA","For profit","115504"
"893","BAINBRIDGE HEALTH AND REHAB","Decatur","GA","For profit","115324"
"894","MEMORIAL MANOR NURSING HOME","Decatur","GA","Government","115711"
"895","EASTMAN HEALTHCARE & REHAB","Dodge","GA","For profit","115622"
"896","PIONEER HEALTH OF CENTRAL GEORGIA","Dooly","GA","For profit","115564"
"897","PRUITTHEALTH - PALMYRA","Dougherty","GA","For profit","115628"
"898","WYNFIELD PARK HEALTH AND REHABILITATION","Dougherty","GA","Non profit","115625"
"899","DOUGLASVILLE NURSING AND REHABILITATION CENTER","Douglas","GA","For profit","115273"
"900","EARLY MEMORIAL NURSING FACILITY","Early","GA","For profit","115271"
"901","EFFINGHAM CARE & REHABILITATION CENTER","Effingham","GA","Non profit","115106"
"902","PRUITTHEALTH - SWAINSBORO","Emanuel","GA","For profit","115533"
"903","PRUITTHEALTH - BLUE RIDGE","Fannin","GA","For profit","115468"
"904","CONDOR HEALTH LAFAYETTE","Fayette","GA","For profit","115360"
"905","SOUTHLAND HEALTH AND REHABILITATION","Fayette","GA","Non profit","115460"
"906","CHULIO HILLS HEALTH AND REHAB","Floyd","GA","For profit","115287"
"907","EVERGREEN HEALTH AND REHABILITATION CENTER","Floyd","GA","For profit","115720"
"908","FIFTH AVENUE HEALTH CARE","Floyd","GA","For profit","115319"
"909","PRUITTHEALTH - ROME","Floyd","GA","For profit","115719"
"910","ROME HEALTH AND REHABILITATION CENTER","Floyd","GA","For profit","115363"
"911","WINTHROP HEALTH AND REHABILITATION","Floyd","GA","Non profit","115395"
"912","CUMMING NURSING CENTER","Forsyth","GA","For profit","115551"
"913","A.G. RHODES HOME, INC, THE","Fulton","GA","Non profit","115275"
"914","BONTERRA TRANSITIONAL CARE & REHABILITATION","Fulton","GA","For profit","115555"
"915","CHRISTIAN CITY REHABILITATION CENTER","Fulton","GA","For profit","115573"
"916","CRESTVIEW HEALTH & REHAB CTR","Fulton","GA","Non profit","115525"
"917","FAIRBURN HEALTH CARE CENTER","Fulton","GA","For profit","115298"
"918","FULTON CENTER FOR REHABILITATION LLC","Fulton","GA","For profit","115569"
"919","HEALTHCARE AT COLLEGE PARK, LLC","Fulton","GA","For profit","115579"
"920","LEGACY TRANSITIONAL CARE & REHABILITATION","Fulton","GA","For profit","115585"
"921","NURSE CARE OF BUCKHEAD","Fulton","GA","For profit","115129"
"922","RELIABLE HEALTH & REHAB AT LAKEWOOD","Fulton","GA","For profit","115717"
"923","SADIE G. MAYS HEALTH & REHABILITATION CENTER","Fulton","GA","Non profit","115542"
"924","SIGNATURE HEALTHCARE OF BUCKHEAD","Fulton","GA","For profit","115110"
"925","WESTMINSTER COMMONS","Fulton","GA","For profit","115674"
"926","WILLIAM BREMAN JEWISH HOME, THE","Fulton","GA","Non profit","115022"
"927","CALHOUN HEALTH CARE CENTER","Gordon","GA","For profit","115340"
"928","PINEWOOD NURSING CENTER","Grady","GA","For profit","115607"
"929","CAMBRIDGE POST ACUTE CARE CENTER","Gwinnett","GA","For profit","115771"
"930","DELMAR GARDENS OF GWINNETT","Gwinnett","GA","For profit","115350"
"931","LIFE CARE CENTER OF GWINNETT","Gwinnett","GA","For profit","115347"
"932","LIFE CARE CTR OF LAWRENCEVILLE","Gwinnett","GA","For profit","115659"
"933","PARKSIDE POST ACUTE AND REHABILITATION","Gwinnett","GA","For profit","115643"
"934","PEBBLEBROOK HEALTH CENTER AT PARK SPRINGS","Gwinnett","GA","For profit","115694"
"935","PRUITTHEALTH - LILBURN","Gwinnett","GA","For profit","115516"
"936","SALUDE - THE ART OF RECOVERY","Gwinnett","GA","For profit","115723"
"937","HABERSHAM HOME","Habersham","GA","Non profit","115099"
"938","NEW HORIZONS LIMESTONE","Hall","GA","Non profit","115487"
"939","OAKS - LIMESTONE, THE","Hall","GA","For profit","115410"
"940","WILLOWWOOD HEALTHCARE AND REHABILITATION","Hall","GA","For profit","115327"
"941","SPARTA HEALTH AND REHABILITATION","Hancock","GA","Non profit","115382"
"942","OAK VIEW HOME, INC","Harris","GA","Non profit","115576"
"943","LAUREL PARK AT HENRY MED CTR","Henry","GA","For profit","115673"
"944","WESTBURY MCDONOUGH, LLC","Henry","GA","For profit","115463"
"945","SOUTHERN PINES","Houston","GA","For profit","115657"
"946","PRUITTHEALTH - OCILLA","Irwin","GA","For profit","115608"
"947","HAZELHURST COURT CARE AND REHABILITATION CENTER","Jeff Davis","GA","For profit","115626"
"948","PRUITTHEALTH - BETHANY","Jenkins","GA","For profit","115700"
"949","SGMC LAKELAND VILLA","Lanier","GA","Government","115707"
"950","DUBLINAIR HEALTH & REHAB","Laurens","GA","For profit","115356"
"951","SOUTHLAND HEALTHCARE AND REHAB CENTER","Laurens","GA","For profit","115376"
"952","LEE COUNTY HEALTH AND REHABILITATION","Lee","GA","Non profit","115614"
"953","PRUITTHEALTH - CRESTWOOD","Lowndes","GA","For profit","115385"
"954","PRUITTHEALTH - VALDOSTA","Lowndes","GA","For profit","115377"
"955","CHELSEY PARK HEALTH AND REHABILITATION","Lumpkin","GA","Non profit","115724"
"956","MIONA GERIATRIC & DEMENTIA CENTER","Macon","GA","For profit","115338"
"957","MONTEZUMA HEALTH CARE CENTER","Macon","GA","Non profit","115364"
"958","COMER HEALTH AND REHABILITATION","Madison","GA","Non profit","115289"
"959","MAGNOLIA MANOR OF MARION COUNTY","Marion","GA","Non profit","115599"
