provnum,def_count,provname,county,state,ownership_type
075261,1,REGENCY HOUSE NURSING AND REHABILITATION CENTER,New Haven,CT,For profit
075264,1,TOUCHPOINTS AT BLOOMFIELD,Hartford,CT,For profit
075265,3,"ELIM PARK BAPTIST HOME, INC",New Haven,CT,Non profit
075268,1,TRINITY HILL CARE CENTER,Hartford,CT,For profit
075271,0,"MYSTIC HEALTHCARE & REHABILITATION CENTER, LLC",New London,CT,For profit
075274,3,WESTERN REHABILITATION CARE CENTER,Fairfield,CT,For profit
075275,1,GRIMES YNHCC,New Haven,CT,Non profit
075278,0,WEST HARTFORD HEALTH & REHABILITATION CENTER,Hartford,CT,For profit
075279,1,KIMBERLY HALL NORTH,Hartford,CT,For profit
075286,1,NEWINGTON RAPID RECOVERY REHAB CENTER,Hartford,CT,For profit
075294,3,WHISPERING PINES REHABILITATION AND NURSING CENTER,New Haven,CT,For profit
075296,1,BRANFORD HILLS HEALTHCARE CTR,New Haven,CT,For profit
075299,1,CHELSEA PLACE CARE CENTER,Hartford,CT,For profit
075300,0,APPLE REHAB SHELTON LAKES,Fairfield,CT,For profit
075301,0,CALEB HITCHCOCK HEALTH CARE CE,Hartford,CT,Non profit
075309,1,GREENWICH WOODS REHABILITATION,Fairfield,CT,For profit
075314,0,TOUCHPOINTS AT MANCHESTER,Hartford,CT,For profit
075316,1,GLASTONBURY HEALTH CARE CENTER,Hartford,CT,For profit
075317,2,WILTON MEADOWS HEALTH CARE CEN,Fairfield,CT,For profit
075319,0,LITCHFIELD WOODS HEALTH CARE C,Litchfield,CT,For profit
075320,2,ST CAMILLUS REHABILITATION & NURSING CENTER,Fairfield,CT,For profit
075323,2,CAMBRIDGE HEALTH AND REHABILITATION CENTER,Fairfield,CT,For profit
075324,1,BAYVIEW HEALTH CARE,New London,CT,For profit
075325,0,"MARY WADE HOME, INC",New Haven,CT,Non profit
075326,0,EVERGREEN HEALTH CARE CENTER,Tolland,CT,For profit
075330,0,"LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC",Fairfield,CT,For profit
075331,1,WILLOWS REHABILITATION & NURSING CENTER,New Haven,CT,For profit
075332,0,VALERIE MANOR,Litchfield,CT,For profit
075333,1,MANCHESTER MANOR,Hartford,CT,For profit
075337,0,SILVER SPRINGS CARE CENTER,New Haven,CT,For profit
075339,1,LORD CHAMBERLAIN NURSING & REHABILITATION CENTER,Fairfield,CT,For profit
075345,1,APPLE REHAB COCCOMO,New Haven,CT,For profit
075347,2,"SUFFIELD HOUSE, THE",Hartford,CT,For profit
075350,0,SHERIDEN WOODS,Hartford,CT,For profit
075351,3,ABBOTT TERR HEALTH CTR,New Haven,CT,For profit
075353,2,JEWISH SENIOR SERVICES,Fairfield,CT,Non profit
075354,1,SAINT JOHN PAUL I I CENTER,Fairfield,CT,For profit
075356,0,NOTRE DAME CONVALESCENT HOME I,Fairfield,CT,For profit
075359,2,FRESH RIVER HEALTHCARE,Hartford,CT,For profit
075361,2,WAVENY CARE CENTER,Fairfield,CT,Non profit
075365,0,CURTIS HOME ST ELIZABETH CENTER,New Haven,CT,For profit
075366,0,HAMDEN REHABILITATION & HEALTH CARE CENTER,New Haven,CT,For profit
075368,0,"GARDNER HEIGHTS HEALTH CARE CENTER, INC",Fairfield,CT,For profit
075371,0,LUTHERAN HOME OF SOUTHBURY INC,New Haven,CT,Non profit
075375,0,BRIDE BROOK HEALTH & REHABILITATION CENTER,New London,CT,For profit
075377,1,WEST RIVER REHAB CENTER,New Haven,CT,For profit
075379,1,SHARON HEALTH CARE CENTER,Litchfield,CT,For profit
075380,1,APPLE REHAB CROMWELL,Middlesex,CT,For profit
075381,1,WATER'S EDGE CENTER FOR HEALTH & REHAB,Middlesex,CT,For profit
075383,0,SEABURY,Hartford,CT,Non profit
075386,0,SHADY KNOLL,New Haven,CT,For profit
075387,1,AUTUMN LAKE HEALTHCARE AT NORWALK,Fairfield,CT,For profit
075388,0,APPLE REHAB AVON,Hartford,CT,For profit
075389,1,APPLE REHAB LAUREL WOODS,New Haven,CT,For profit
075390,2,BEACON BROOK HEALTH CENTER,New Haven,CT,For profit
075393,0,BEL AIR MANOR,Hartford,CT,For profit
075394,1,LONG RIDGE POST-ACUTE CARE,Fairfield,CT,For profit
075395,1,LAUREL RIDGE HEALTH CARE CENTE,Fairfield,CT,For profit
075396,0,CHERRY BROOK HEALTH CARE CENTE,Hartford,CT,Non profit
075397,4,REGALCARE AT NEW HAVEN,New Haven,CT,For profit
075400,2,BETHEL HEALTH CARE CENTER,Fairfield,CT,For profit
075403,0,APPLE REHAB WEST HAVEN,New Haven,CT,For profit
075404,1,MAEFAIR HEALTH CARE CENTER,Fairfield,CT,For profit
075405,0,MADISON HOUSE,New Haven,CT,For profit
075407,0,THE RESERVOIR,Hartford,CT,For profit
075410,0,AARON MANOR NURSING & REHABILITATION,Middlesex,CT,For profit
075413,0,NORTHBRIDGE HEALTH CARE CENTER,Fairfield,CT,For profit
075415,1,COUNTRYSIDE MANOR OF BRISTOL,Hartford,CT,For profit
075416,2,CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER,Litchfield,CT,For profit
075418,2,AUTUMN LAKE HEALTHCARE AT BUCKS HILL,New Haven,CT,For profit
075420,1,"SUMMIT AT PLANTSVILLE, THE",Hartford,CT,For profit
075421,1,EDGEHILL HEALTH CENTER,Fairfield,CT,For profit
075429,1,MEADOW RIDGE,Fairfield,CT,For profit
075434,2,ORANGE HEALTH CARE CENTER,New Haven,CT,For profit
075440,0,"SPRINGS AT WATERMARK 3030 PARK, THE",Fairfield,CT,For profit
075442,0,60 WEST,Hartford,CT,For profit
085002,0,PARKVIEW NURSING,New Castle,DE,Non profit
085004,2,BRANDYWINE NURSING & REHABILITATION CENTER,New Castle,DE,For profit
085010,4,MILFORD CENTER,Sussex,DE,For profit
085013,1,HILLSIDE CENTER,New Castle,DE,For profit
085032,3,WESTMINSTER VILLAGE HEALTH,Kent,DE,Non profit
085034,2,HARBOR HEALTHCARE & REHAB CTR,Sussex,DE,Non profit
085035,2,DELAWARE HOSPITAL F/T CHRONICALLY ILL (DHCI),Kent,DE,Government
085037,2,ATLANTIC SHORES REHABILITATION & HEALTH CENTER,Sussex,DE,For profit
085039,4,NEW CASTLE HEALTH AND REHABILITATION CENTER,New Castle,DE,For profit
085050,1,CADIA REHABILITATION BROADMEADOW,New Castle,DE,For profit
08A006,1,JEANNE JUGAN RESIDENCE,New Castle,DE,Government
08E029,0,GOVERNOR BACON HEALTH CENTER,New Castle,DE,Government
095014,0,WASHINGTON CTR FOR AGING SVCS,The District,DC,Non profit
095015,1,SERENITY REHABILITATION AND HEALTH CENTER LLC,The District,DC,For profit
095019,3,DEANWOOD REHABILITATION AND WELLNESS CENTER,The District,DC,For profit
095020,1,STODDARD BAPTIST NURSING HOME,The District,DC,Non profit
095021,3,HEALTH & REHABILITATION  CENTER AT THOMAS CIRCLE,The District,DC,For profit
095022,2,TRANSITIONS HEALTHCARE CAPITOL CITY,The District,DC,For profit
095025,0,LISNER LOUISE DICKSON HURTHOME,The District,DC,Non profit
095026,1,KNOLLWOOD HSC,The District,DC,Non profit
095028,1,INGLESIDE AT ROCK CREEK,The District,DC,Non profit
095031,2,INSPIRE REHABILITATION AND HEALTH CENTER LLC,The District,DC,For profit
095034,2,CARROLL MANOR NURSING & REHAB,The District,DC,Non profit
095036,2,UNIQUE REHABILITATION AND HEALTH CENTER LLC,The District,DC,For profit
095038,0,FOREST HILLS OF DC,The District,DC,Non profit
095039,3,UNITED MEDICAL NURSING HOME,The District,DC,Non profit
09E020,0,JEANNE JUGAN RESIDENCE,The District,DC,Non profit
105001,3,LAKE EUSTIS HEALTH AND REHABILITATION CENTER,Lake,FL,For profit
105005,2,CORAL GABLES NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
105009,2,GOLFCREST HEALTHCARE CENTER,Broward,FL,For profit
105030,4,"MIAMI JEWISH HEALTH SYSTEMS, INC",Miami-Dade,FL,Non profit
105037,1,"PALMS OF SEBRING, THE",Highlands,FL,Non profit
105039,2,"REHABILITATION CENTER OF THE PALM BEACHES,THE",Palm Beach,FL,Non profit
105045,1,BRADEN RIVER REHABILITATION CENTER LLC,Manatee,FL,For profit
105057,2,PINES NURSING HOME,Miami-Dade,FL,For profit
105067,2,BOULEVARD REHABILITATION CENTER,Palm Beach,FL,For profit
105083,0,BROWARD NURSING & REHABILITATION CENTER,Broward,FL,For profit
105089,3,MANOR PINES CONVALESCENT CENTER,Broward,FL,For profit
105117,0,SOUTH HERITAGE HEALTH & REHABILITATION CENTER,Pinellas,FL,Non profit
105120,1,KRYSTAL BAY NURSING AND REHABILITATION,Miami-Dade,FL,For profit
105125,1,TERRACES OF LAKE WORTH CARE CENTER,Palm Beach,FL,For profit
105128,2,MORTON PLANT REHABILITATION CENTER,Pinellas,FL,Non profit
105132,1,LAKESIDE OAKS CARE CENTER,Pinellas,FL,For profit
105140,3,BRISTOL AT TAMPA REHAB AND NURSING CENTER LLC,Hillsborough,FL,For profit
105145,2,PARKSIDE HEALTH AND REHABILITATION CENTER,Volusia,FL,For profit
105147,1,PINES OF SARASOTA,Sarasota,FL,Non profit
105153,0,PINECREST REHABILITATION CENTER,Miami-Dade,FL,For profit
105172,1,FOUNTAIN MANOR HEALTH & REHABILITATION CENTER,Miami-Dade,FL,For profit
105210,2,W FRANK WELLS NURSING HOME,Baker,FL,Non profit
105217,2,NORTH BEACH REHABILITATION CENTER,Miami-Dade,FL,For profit
105229,1,"SANDS AT SOUTH BEACH CARE CENTER, THE",Miami-Dade,FL,For profit
105232,2,VILLA MARIA NURSING CENTER,Miami-Dade,FL,Non profit
105259,2,MEDICANA NURSING AND REHAB CENTER,Palm Beach,FL,For profit
105267,0,BAYSIDE HEALTH AND REHABILITATION CENTER,Escambia,FL,For profit
105282,0,EDEN SPRINGS NURSING AND REHAB CENTER,Wakulla,FL,For profit
105283,1,LAKELAND HILLS CENTER,Polk,FL,Non profit
105289,1,LIFE CARE CENTER OF PUNTA GORDA,Charlotte,FL,For profit
105295,2,"FORT WALTON REHABILITATION CENTER, LLC",Okaloosa,FL,For profit
105296,2,CROSS POINTE CARE CENTER,Broward,FL,For profit
105298,3,FT LAUDERDALE HEALTH & REHABILITATION CENTER,Broward,FL,For profit
105300,0,"TERRACE AT HOBE SOUND, THE",Martin,FL,For profit
105310,4,"AVANTE AT ORMOND BEACH, INC",Volusia,FL,For profit
105327,1,CASA MORA REHABILITATION AND EXTENDED CARE,Manatee,FL,Non profit
105331,1,AVENTURA REHAB AND NURSING CENTER,Miami-Dade,FL,For profit
105335,2,ABBEY DELRAY,Palm Beach,FL,Non profit
105336,2,PALMS CARE CENTER,Broward,FL,For profit
105342,2,REHAB & HEALTHCARE CENTER OF CAPE CORAL,Lee,FL,Non profit
105353,2,ADVENTHEALTH CARE CENTER APOPKA SOUTH,Seminole,FL,Non profit
105355,2,WILLOWBROOKE COURT AT ST ANDREWS,Palm Beach,FL,Non profit
105360,0,TAMARAC REHABILITATION AND HEALTH CENTER,Broward,FL,For profit
105363,2,SIGNATURE HEALTHCARE OF PORT CHARLOTTE,Charlotte,FL,For profit
105371,3,ST JOHNS NURSING CENTER,Broward,FL,Non profit
105372,3,"AVANTE AT LAKE WORTH, INC.",Palm Beach,FL,For profit
105374,0,MAJESTIC OAKS,Volusia,FL,Non profit
105378,1,ST MARK VILLAGE,Pinellas,FL,Non profit
105385,0,ROYAL OAK NURSING CENTER,Pasco,FL,Non profit
105387,1,SIGNATURE HEALTHCARE AT COLLEGE PARK,Lee,FL,For profit
105392,2,JACKSON MEMORIAL LONG TERM CARE CENTER,Miami-Dade,FL,Government
105394,3,BAY TREE CENTER,Pinellas,FL,For profit
105398,1,TIERRA PINES CENTER,Pinellas,FL,For profit
105408,0,TREASURE ISLE CARE CENTER,Miami-Dade,FL,Non profit
105412,2,SEMINOLE PAVILION REHABILITATION & NURSING SERVICE,Pinellas,FL,For profit
105416,0,BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER,Sarasota,FL,For profit
105421,3,MANORCARE NURSING AND REHABILITATION CENTER,Collier,FL,Non profit
105427,2,FORT MYERS REHABILITATION AND NURSING CENTER,Lee,FL,For profit
105432,2,RIVERSIDE CARE CENTER,Miami-Dade,FL,For profit
105436,1,MANORCARE HEALTH SERVICES DUNEDIN,Pinellas,FL,Non profit
105441,2,SUNRISE HEALTH & REHABILITATION CENTER,Broward,FL,For profit
105443,2,BAY BREEZE HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit
105447,3,DELTONA HEALTH CARE,Volusia,FL,For profit
105449,1,MIAMI SHORES NURSING AND REHAB CENTER,Miami-Dade,FL,For profit
105462,3,CLEWISTON NURSING & REHABILITATION,Hendry,FL,For profit
105467,2,WILLISTON CARE CENTER,Levy,FL,For profit
105472,0,VILLAGE ON THE ISLE,Sarasota,FL,Non profit
105475,2,LAKE VIEW CARE CENTER AT DELRAY,Palm Beach,FL,For profit
105476,2,REGENTS PARK NURSING & REHABILITATION CENTER,Palm Beach,FL,For profit
105480,1,ROSEWOOD HEALTH AND REHABILITATION CENTER,Orange,FL,For profit
105482,2,CONSULATE HEALTH CARE OF LAKELAND,Polk,FL,For profit
105484,2,OKEECHOBEE HEALTH CARE FACILITY,Okeechobee,FL,For profit
105485,3,HAMLIN PLACE OF BOYNTON BEACH,Palm Beach,FL,Non profit
105488,2,RIVERWOOD HEALTH & REHABILITATION CENTER,Bradford,FL,For profit
105495,3,HILLCREST HEALTH CARE AND REHABILITATION CENTER,Broward,FL,For profit
105496,1,MANORCARE HEALTH SERVICES BOYNTON BEACH,Palm Beach,FL,Non profit
105498,2,SUSANNA WESLEY HEALTH CENTER,Miami-Dade,FL,Non profit
105503,2,PARK SUMMIT AT CORAL SPRINGS,Broward,FL,For profit
105505,2,MARGATE HEALTH AND REHABILITATION CENTER,Broward,FL,For profit
105506,3,ENCORE AT BOCA RATON REHABILITATION AND NURSING CE,Palm Beach,FL,For profit
105507,3,CONSULATE HEALTH CARE OF NORTH FORT MYERS,Lee,FL,For profit
105508,0,EAST RIDGE RETIREMENT VILLAGE INC,Miami-Dade,FL,Non profit
105509,1,SALERNO BAY HEALTH AND REHABILITATION CENTER,Martin,FL,For profit
105510,2,UNITY HEALTH AND REHABILITATION CENTER,Miami-Dade,FL,For profit
105513,1,CLARIDGE HOUSE NURSING & REHABILITATION CENTER,Miami-Dade,FL,For profit
105514,2,DEBARY HEALTH AND REHABILITATION CENTER,Volusia,FL,For profit
105519,4,NSPIRE HEALTHCARE PLANTATION,Broward,FL,For profit
105522,1,LEHIGH ACRES HEALTH AND REHABILITATION CENTER,Lee,FL,For profit
105524,0,PORT CHARLOTTE REHABILITATION CENTER,Charlotte,FL,For profit
105525,4,MANATEE SPRINGS REHABILITATION AND NURSING CENTER,Manatee,FL,For profit
105528,3,"TERRACE OF ST CLOUD, THE",Osceola,FL,For profit
105532,1,ARCADIA HEALTH & REHABILITATION CENTER,Escambia,FL,For profit
105538,2,HARBOUR HEALTH CENTER,Charlotte,FL,For profit
105549,4,CONSULATE HEALTH CARE OF SAFETY HARBOR,Pinellas,FL,For profit
105551,1,BAY VUE NURSING AND REHABILITATION CENTER,Manatee,FL,For profit
105554,3,SIGNATURE HEALTHCARE CENTER OF WATERFORD,Miami-Dade,FL,For profit
105558,2,RENAISSANCE HEALTH AND REHABILITATION,Palm Beach,FL,For profit
105560,3,"ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC",Miami-Dade,FL,Non profit
105562,4,PALM GARDEN OF OCALA,Marion,FL,For profit
105566,2,PALM GARDEN OF WINTER HAVEN,Polk,FL,For profit
105567,0,SPRINGS AT LAKE POINTE WOODS,Sarasota,FL,For profit
105572,2,POMPANO HEALTH AND REHABILITATION CENTER,Broward,FL,Non profit
105574,2,PALM GARDEN OF LARGO,Pinellas,FL,For profit
105575,0,PALMETTO CARE CENTER,Miami-Dade,FL,For profit
105577,3,PALM GARDEN OF ORLANDO,Orange,FL,For profit
105579,2,EMERALD HEALTH CARE CENTER,St. Lucie,FL,For profit
105581,1,PALM GARDEN OF CLEARWATER,Pinellas,FL,For profit
105589,3,COQUINA CENTER,Volusia,FL,For profit
105592,4,PALM GARDEN OF VERO BEACH,Indian River,FL,For profit
105596,2,REGENTS PARK AT AVENTURA,Miami-Dade,FL,For profit
105598,2,HARBOURS EDGE,Palm Beach,FL,Non profit
105603,2,RIVIERA PALMS REHABILITATION CENTER,Manatee,FL,For profit
105604,1,COVENANT VILLAGE CARE CENTER,Broward,FL,Non profit
105607,2,PALM GARDEN OF WEST PALM BEACH,Palm Beach,FL,For profit
105609,2,NSPIRE HEALTHCARE TAMARAC,Broward,FL,For profit
105610,3,PALM GARDEN OF AVENTURA,Miami-Dade,FL,For profit
105611,2,WOOD LAKE HEALTH AND REHABILITATION CENTER,Palm Beach,FL,For profit
105613,2,SUWANNEE HEALTH AND REHABILITATION CENTER,Suwannee,FL,For profit
105620,0,HIGHLANDS LAKE CENTER,Polk,FL,For profit
105623,2,WEST GABLES HEALTH CARE CENTER,Miami-Dade,FL,For profit
105624,0,BONIFAY NURSING AND REHAB CENTER,Holmes,FL,For profit
105626,1,CHAUTAUQUA REHABILITATION AND NURSING CENTER,Walton,FL,For profit
105627,3,"COURT AT PALM AIRE, THE",Broward,FL,For profit
105628,2,REHABILITATION CENTER AT PARK PLACE,Escambia,FL,For profit
105632,2,HARTS HARBOR HEALTH CARE CENTER,Duval,FL,For profit
105636,2,BELLEAIR HEALTH CARE CENTER,Pinellas,FL,For profit
105638,2,PARKLANDS CARE CENTER,Alachua,FL,For profit
105640,3,NORTH LAKE CARE CENTER,Palm Beach,FL,For profit
105663,3,GOVERNORS CREEK HEALTH AND REHABILITATION,Clay,FL,For profit
105664,2,SIGNATURE HEALTHCARE OF GAINESVILLE,Alachua,FL,For profit
105666,2,LANIER REHABILITATION CENTER,Duval,FL,For profit
105668,2,MEMORIAL MANOR,Broward,FL,Government
105680,1,NSPIRE HEALTHCARE LAUDERHILL,Broward,FL,For profit
105682,2,PALM GARDEN OF JACKSONVILLE,Duval,FL,For profit
105683,0,OAKBROOK HEALTH AND REHABILITATION CENTER,Hendry,FL,For profit
105686,0,SPRINGTREE REHABILITATION & HEALTH CARE CENTER,Broward,FL,For profit
105690,0,HIGHLAND PINES REHABILITATION CENTER,Pinellas,FL,Non profit
105692,1,HEARTLAND HEALTH CARE CENTER ORANGE PARK,Clay,FL,Non profit
105696,3,WINDSOR HEALTH AND REHABILITATION CENTER,Bradford,FL,For profit
105702,2,TARPON POINT NURSING AND REHABILITATION CENTER,Sarasota,FL,For profit
105709,4,NSPIRE HEALTHCARE MIAMI LAKES,Miami-Dade,FL,For profit
105710,1,JACKSONVILLE NURSING AND REHAB CENTER,Duval,FL,For profit
105711,1,SINAI PLAZA NURSING & REHAB CENTER,Miami-Dade,FL,Non profit
105719,2,PALACE AT KENDALL NURSING AND REHABILITATION CENTE,Miami-Dade,FL,For profit
105723,1,HEARTLAND HEALTH CARE CENTER FORT MYERS,Lee,FL,Non profit
105731,1,COMMONS AT ORLANDO LUTHERAN TOWERS,Orange,FL,Non profit
105737,1,MACCLENNY NURSING AND REHAB CENTER,Baker,FL,For profit
105747,2,ROSEWOOD HEALTHCARE AND REHABILITATION CENTER,Escambia,FL,For profit
105751,0,SPECIALTY HEALTH AND REHABILITATION CENTER,Escambia,FL,For profit
105755,0,HEARTLAND HEALTH CARE CENTER BOYNTON BEACH,Palm Beach,FL,Non profit
105756,0,LIFE CARE CENTER OF HILLIARD,Nassau,FL,For profit
105758,0,STRATFORD COURT OF PALM HARBOR,Pinellas,FL,For profit
105762,1,HEARTLAND HEALTH CARE CENTER PROSPERITY OAKS,Palm Beach,FL,Non profit
105765,1,CROSS GARDENS CARE CENTER,Miami-Dade,FL,For profit
105774,0,CROSSBREEZE CARE CENTER,Sarasota,FL,For profit
105779,1,HEALTHPARK CARE CENTER,Lee,FL,For profit
105784,0,"MANOR AT BLUE WATER BAY, THE",Okaloosa,FL,For profit
105797,1,GUARDIAN CARE NURSING & REHABILITATION CENTER,Orange,FL,Non profit
105801,1,JOSEPH L MORSE HEALTH CENTER INC THE,Palm Beach,FL,Non profit
105802,1,CROSS LANDINGS HEALTH AND REHABILITATION CENTER,Jefferson,FL,For profit
105803,1,HIALEAH NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
105821,2,TAYLOR CARE CENTER,Duval,FL,Non profit
105834,0,"CATHEDRAL GERONTOLOGY CENTER, INC",Duval,FL,Non profit
105837,1,BOYNTON BEACH REHABILITATION CENTER,Palm Beach,FL,For profit
105839,0,"TERRACE OF KISSIMMEE, THE",Osceola,FL,For profit
105843,1,CONSULATE HEALTH CARE AT WEST ALTAMONTE,Seminole,FL,For profit
105850,1,BARRINGTON TERRACE OF BOYNTON BEACH,Palm Beach,FL,For profit
105851,3,STRATFORD COURT OF BOCA RATON,Palm Beach,FL,For profit
105852,0,HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF,Palm Beach,FL,Non profit
105866,1,PLAZA WEST,Hillsborough,FL,For profit
105878,0,PINELLAS POINT NURSING AND REHAB CENTER,Pinellas,FL,For profit
105882,0,WINKLER COURT,Lee,FL,Non profit
105885,2,VIERA HEALTH AND REHABILITATION CENTER,Brevard,FL,For profit
105892,0,LAKE PARK OF MADISON NURSING AND REHABILITATION CE,Madison,FL,For profit
105895,4,CONSULATE HEALTH CARE OF ST PETERSBURG,Pinellas,FL,For profit
105903,2,FRANCO NURSING & REHABILITATION CENTER,Miami-Dade,FL,For profit
105911,2,MANORCARE HEALTH SERVICES WEST PALM BEACH,Palm Beach,FL,For profit
105921,1,GARDENS COURT,Palm Beach,FL,For profit
105939,2,PALMETTO SUBACUTE CARE CENTER,Miami-Dade,FL,For profit
105962,2,LIFE CARE CENTER AT WELLS CROSSING,Clay,FL,For profit
105966,1,SHELL POINT NURSING PAVILION,Lee,FL,Non profit
105968,0,VI AT LAKESIDE VILLAGE,Palm Beach,FL,For profit
105979,3,SOLARIS HEALTHCARE COCONUT CREEK,Broward,FL,Non profit
105983,2,CONSULATE HEALTH CARE OF SARASOTA,Sarasota,FL,For profit
105987,2,HUNTERS CREEK NURSING AND REHAB CENTER,Orange,FL,For profit
106005,1,MANORCARE HEALTH SERVICES,Palm Beach,FL,Non profit
106007,1,"FLORIDEAN NURSING AND REHABILITATION CENTER, THE",Miami-Dade,FL,For profit
106008,2,OSPREY POINT NURSING CENTER,Sumter,FL,For profit
106017,0,BRADENTON HEALTH CARE,Manatee,FL,For profit
106020,2,MANORCARE HEALTH SERVICES,Lee,FL,Non profit
106021,2,PONCE PLAZA NURSING & REHABILITATION CENTER,Miami-Dade,FL,Non profit
106024,2,ADVENTHEALTH CARE CENTER ORLANDO NORTH,Orange,FL,Non profit
106030,3,WESTMINSTER POINT PLEASANT,Manatee,FL,Non profit
106032,2,MAGNOLIA HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit
106034,2,JACKSON PLAZA NURSING AND REHABILITATION CENTER,Miami-Dade,FL,Non profit
106038,2,"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING",Broward,FL,Government
106042,2,FREEDOM SQUARE REHABILITATION & NURSING SERVICES,Pinellas,FL,For profit
106047,0,LIFE CARE CENTER OF INVERRARY,Broward,FL,For profit
106051,0,SOUTHERN OAKS CARE CENTER,Escambia,FL,For profit
106053,0,SUNNYSIDE NURSING HOME,Sarasota,FL,Non profit
106056,1,CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME,Bay,FL,Government
106057,2,LIFE CARE CENTER OF ESTERO,Lee,FL,For profit
106059,2,DOUGLAS JACOBSON STATE VETERANS NURSING HOME,Charlotte,FL,Government
106060,2,LIFE CARE CENTER OF PALM BAY,Brevard,FL,For profit
106063,0,GLENRIDGE ON PALMER RANCH INC.,Sarasota,FL,Non profit
106065,1,ISLE HEALTH & REHABILITATION CENTER,Clay,FL,For profit
106066,3,OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC,Alachua,FL,Non profit
106070,2,DESOTO HEALTH AND REHAB,De Soto,FL,For profit
106076,1,VI AT AVENTURA,Miami-Dade,FL,For profit
106091,0,ADDINGTON PLACE AT WELLINGTON GREEN,Palm Beach,FL,For profit
106094,0,RIVIERA HEALTH RESORT,Miami-Dade,FL,For profit
106100,2,UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER,Miami-Dade,FL,Non profit
106102,2,SARASOTA POINT REHABILITATION CENTER,Sarasota,FL,For profit
106106,4,GLADES WEST REHABILITATION AND NURSING C,Broward,FL,For profit
106114,1,BUFFALO CROSSING HEALTHCARE AND REHABILITATION CEN,Alachua,FL,For profit
106117,1,OLIVE BRANCH HEALTH AND REHAB CENTER,Escambia,FL,For profit
106119,0,ADVENTHEALTH CARE CENTER WATERMAN,Lake,FL,Non profit
106131,1,GOLDEN GLADES NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
106132,0,SOUTH DADE NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
106133,0,NORTH DADE NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
115002,1,A.G. RHODES HOME WESLEY WOODS,De Kalb,GA,Non profit
115004,0,MAGNOLIA MANOR METHODIST NSG C,Sumter,GA,Non profit
115005,0,PARK PLACE NURSING FACILITY,Walton,GA,For profit
115012,1,NORTH DECATUR HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit
115022,0,"WILLIAM BREMAN JEWISH HOME, THE",Fulton,GA,Non profit
115025,3,GLENWOOD HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit
115039,0,MILLER NURSING HOME,Miller,GA,Government
115099,1,HABERSHAM HOME,Habersham,GA,Non profit
115106,0,EFFINGHAM CARE & REHABILITATION CENTER,Effingham,GA,Non profit
115110,1,SIGNATURE HEALTHCARE OF BUCKHEAD,Fulton,GA,For profit
115115,1,SIGNATURE HEALTHCARE AT TOWER ROAD,Cobb,GA,For profit
115124,1,MAGNOLIA MANOR OF COLUMBUS NURSING CENTER - EAST,Muscogee,GA,Non profit
115129,2,NURSE CARE OF BUCKHEAD,Fulton,GA,For profit
115138,2,NEWNAN HEALTH AND REHABILITATION,Coweta,GA,Non profit
115144,1,RIVERDALE CENTER FOR NURSING AND HEALING,Clayton,GA,For profit
115145,0,ANDERSON MILL HEALTH AND REHABILITATION CENTER,Cobb,GA,For profit
115146,2,ORCHARD VIEW REHABILITATION & SKILLED NURSING CTR,Muscogee,GA,Government
115147,1,KENTWOOD NURSING FACILITY,Richmond,GA,Non profit
115206,0,SIGNATURE HEALTHCARE OF MARIETTA,Cobb,GA,For profit
115246,0,MANOR CARE REHABILITATION CENTER - DECATUR,De Kalb,GA,Non profit
115262,1,APPLING NURSING AND REHABILITATION PAVILION,Appling,GA,Non profit
115264,1,CALHOUN NURSING HOME,Calhoun,GA,Government
115265,1,HARBORVIEW SATILLA,Ware,GA,For profit
115266,0,MITCHELL COUNTY NURSING HOMES,Mitchell,GA,Non profit
115271,1,EARLY MEMORIAL NURSING FACILITY,Early,GA,For profit
115272,2,JOE-ANNE BURGIN NURSING HOME,Randolph,GA,Government
115273,1,DOUGLASVILLE NURSING AND REHABILITATION CENTER,Douglas,GA,For profit
115275,0,"A.G. RHODES HOME, INC, THE",Fulton,GA,Non profit
115276,0,PRUITTHEALTH - MARIETTA,Cobb,GA,For profit
115283,1,MANOR CARE REHABILITATION CENTER - MARIETTA,Cobb,GA,Non profit
115287,0,CHULIO HILLS HEALTH AND REHAB,Floyd,GA,For profit
115288,0,PRUITTHEALTH - MACON,Bibb,GA,For profit
115289,0,COMER HEALTH AND REHABILITATION,Madison,GA,Non profit
