x1,provname,county,state,ownership_type,provnum,address,city_raw,zip,survey_date_output,surveytype,defpref,category,tag,tag_desc,scope,defstat,statdate,cycle,standard,complaint,filedate,address_norm,zip5,city_clean,year,def_boolean
225,"TORRANCE CARE CENTER WEST, INC",Los Angeles,CA,For profit,055952,4333 TORRANCE BLVD,TORRANCE,90503,2017-10-18,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-11-09,3,Y,N,2020-02-01,4333 TORRANCE BLVD,90503,TORRANCE,2017,1
226,UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit,056206,230 E ADAMS BLVD,LOS ANGELES,90011,2019-11-08,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-11-14,1,N,Y,2020-02-01,230 E ADAMS BLVD,90011,LOS ANGELES,2019,1
226,UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit,056206,230 E ADAMS BLVD,LOS ANGELES,90011,2019-01-29,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-02-26,1,Y,N,2020-02-01,230 E ADAMS BLVD,90011,LOS ANGELES,2019,1
226,UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit,056206,230 E ADAMS BLVD,LOS ANGELES,90011,2018-02-10,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-02-28,2,Y,N,2020-02-01,230 E ADAMS BLVD,90011,LOS ANGELES,2018,1
226,UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,CA,For profit,056206,230 E ADAMS BLVD,LOS ANGELES,90011,2017-02-04,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-02-28,3,Y,N,2020-02-01,230 E ADAMS BLVD,90011,LOS ANGELES,2017,1
227,VALLEY PALMS CARE CENTER,Los Angeles,CA,For profit,055287,13400 SHERMAN WAY,N HOLLYWOOD,91605,2017-11-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-12-19,3,Y,N,2020-02-01,13400 SHERMAN WAY,91605,NORTH HOLLYWOOD,2017,1
228,VALLEY VISTA NURSING AND TRANSITIONAL CARE LLC,Los Angeles,CA,For profit,555132,6120 N. VINELAND AVE,NORTH HOLLYWOOD,91606,2019-07-15,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-08-13,1,Y,N,2020-02-01,6120 N VINELAND AVE,91606,NORTH HOLLYWOOD,2019,1
228,VALLEY VISTA NURSING AND TRANSITIONAL CARE LLC,Los Angeles,CA,For profit,555132,6120 N. VINELAND AVE,NORTH HOLLYWOOD,91606,2018-07-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-08-31,2,Y,N,2020-02-01,6120 N VINELAND AVE,91606,NORTH HOLLYWOOD,2018,1
228,VALLEY VISTA NURSING AND TRANSITIONAL CARE LLC,Los Angeles,CA,For profit,555132,6120 N. VINELAND AVE,NORTH HOLLYWOOD,91606,2017-07-07,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-08-02,3,Y,N,2020-02-01,6120 N VINELAND AVE,91606,NORTH HOLLYWOOD,2017,1
229,VERDUGO VALLEY SKILLED NURSING & WELLNESS CT,Los Angeles,CA,For profit,056322,2635 HONOLULU AVE,MONTROSE,91020,2019-06-27,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-07-16,1,N,Y,2020-02-01,2635 HONOLULU AVE,91020,MONTROSE,2019,1
229,VERDUGO VALLEY SKILLED NURSING & WELLNESS CT,Los Angeles,CA,For profit,056322,2635 HONOLULU AVE,MONTROSE,91020,2018-09-28,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-10-09,2,N,Y,2020-02-01,2635 HONOLULU AVE,91020,MONTROSE,2018,1
230,VERNON HEALTHCARE CENTER,Los Angeles,CA,For profit,055167,1037 W. VERNON AVENUE,LOS ANGELES,90037,2017-11-02,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-11-29,3,Y,N,2020-02-01,1037 W VERNON AVE,90037,LOS ANGELES,2017,1
231,VIEW HEIGHTS CONV HOSP,Los Angeles,CA,For profit,056417,12619 S. AVALON BLVD,LOS ANGELES,90061,2018-03-15,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-04-10,2,Y,N,2020-02-01,12619 S AVALON BLVD,90061,LOS ANGELES,2018,1
231,VIEW HEIGHTS CONV HOSP,Los Angeles,CA,For profit,056417,12619 S. AVALON BLVD,LOS ANGELES,90061,2017-02-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-03-09,3,Y,N,2020-02-01,12619 S AVALON BLVD,90061,LOS ANGELES,2017,1
232,VIRGIL REHABILITATION & SKILLED NURSING CENTER,Los Angeles,CA,For profit,055157,975 NORTH VIRGIL AVENUE,LOS ANGELES,90029,2019-12-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2020-01-22,1,Y,N,2020-02-01,975 N VIRGIL AVE,90029,LOS ANGELES,2019,1
233,WEST HILLS HEALTH & REHAB CENTER,Los Angeles,CA,For profit,056133,7940 TOPANGA CANYON BLVD.,CANOGA PARK,91304,2017-07-25,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-09-06,3,Y,N,2020-02-01,7940 TOPANGA CYN BLVD,91304,CANOGA PARK,2017,1
234,WEST VALLEY POST ACUTE,Los Angeles,CA,For profit,055443,7057 SHOUP AVE,WEST HILLS,91307,2018-09-14,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-10-01,2,N,Y,2020-02-01,7057 SHOUP AVE,91307,WEST HILLS,2018,1
234,WEST VALLEY POST ACUTE,Los Angeles,CA,For profit,055443,7057 SHOUP AVE,WEST HILLS,91307,2018-07-31,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-08-09,2,N,Y,2020-02-01,7057 SHOUP AVE,91307,WEST HILLS,2018,1
234,WEST VALLEY POST ACUTE,Los Angeles,CA,For profit,055443,7057 SHOUP AVE,WEST HILLS,91307,2018-06-18,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-06-26,2,N,Y,2020-02-01,7057 SHOUP AVE,91307,WEST HILLS,2018,1
234,WEST VALLEY POST ACUTE,Los Angeles,CA,For profit,055443,7057 SHOUP AVE,WEST HILLS,91307,2017-09-22,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-10-16,3,Y,N,2020-02-01,7057 SHOUP AVE,91307,WEST HILLS,2017,1
235,WESTERN CONV. HOSPITAL,Los Angeles,CA,For profit,555069,2190 W. ADAMS BLVD.,LOS ANGELES,90018,2019-05-24,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-07-03,1,Y,N,2020-02-01,2190 W ADAMS BLVD,90018,LOS ANGELES,2019,1
235,WESTERN CONV. HOSPITAL,Los Angeles,CA,For profit,555069,2190 W. ADAMS BLVD.,LOS ANGELES,90018,2018-05-18,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-06-20,2,Y,N,2020-02-01,2190 W ADAMS BLVD,90018,LOS ANGELES,2018,1
235,WESTERN CONV. HOSPITAL,Los Angeles,CA,For profit,555069,2190 W. ADAMS BLVD.,LOS ANGELES,90018,2017-05-26,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-06-19,3,Y,N,2020-02-01,2190 W ADAMS BLVD,90018,LOS ANGELES,2017,1
236,WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit,055430,10426 BOGARDUS AVE,WHITTIER,90603,2019-05-31,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-06-25,1,Y,N,2020-02-01,10426 BOGARDUS AVE,90603,WHITTIER,2019,1
236,WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit,055430,10426 BOGARDUS AVE,WHITTIER,90603,2018-05-26,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-06-25,2,Y,N,2020-02-01,10426 BOGARDUS AVE,90603,WHITTIER,2018,1
236,WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit,055430,10426 BOGARDUS AVE,WHITTIER,90603,2017-10-19,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-11-02,3,N,Y,2020-02-01,10426 BOGARDUS AVE,90603,WHITTIER,2017,1
236,WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit,055430,10426 BOGARDUS AVE,WHITTIER,90603,2017-08-04,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-08-10,3,N,Y,2020-02-01,10426 BOGARDUS AVE,90603,WHITTIER,2017,1
236,WHITTIER HILLS HEALTH CARE CTR,Los Angeles,CA,For profit,055430,10426 BOGARDUS AVE,WHITTIER,90603,2017-06-14,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-07-07,3,Y,N,2020-02-01,10426 BOGARDUS AVE,90603,WHITTIER,2017,1
237,WINDSOR CARE CENTER OF CHEVIOT HILLS,Los Angeles,CA,For profit,056451,3533 MOTOR AVENUE,LOS ANGELES,90034,2019-10-08,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-10-28,1,N,Y,2020-02-01,3533 MOTOR AVE,90034,LOS ANGELES,2019,1
237,WINDSOR CARE CENTER OF CHEVIOT HILLS,Los Angeles,CA,For profit,056451,3533 MOTOR AVENUE,LOS ANGELES,90034,2017-05-01,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-05-31,3,Y,N,2020-02-01,3533 MOTOR AVE,90034,LOS ANGELES,2017,1
238,WINDSOR GARDENS CONVALESCENT CENTER OF LONG BEACH,Los Angeles,CA,For profit,555375,3232 E. ARTESIA BLVD.,LONG BEACH,90805,2019-02-12,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-03-14,1,Y,N,2020-02-01,3232 E ARTESIA BLVD,90805,LONG BEACH,2019,1
238,WINDSOR GARDENS CONVALESCENT CENTER OF LONG BEACH,Los Angeles,CA,For profit,555375,3232 E. ARTESIA BLVD.,LONG BEACH,90805,2018-02-15,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-03-13,2,Y,N,2020-02-01,3232 E ARTESIA BLVD,90805,LONG BEACH,2018,1
238,WINDSOR GARDENS CONVALESCENT CENTER OF LONG BEACH,Los Angeles,CA,For profit,555375,3232 E. ARTESIA BLVD.,LONG BEACH,90805,2017-01-24,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-03-08,3,Y,N,2020-02-01,3232 E ARTESIA BLVD,90805,LONG BEACH,2017,1
239,WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit,555738,7447 SEPULVEDA BLVD,VAN NUYS,91405,2019-05-03,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-06-03,1,Y,N,2020-02-01,7447 SEPULVEDA BLVD,91405,VAN NUYS,2019,1
239,WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit,555738,7447 SEPULVEDA BLVD,VAN NUYS,91405,2018-12-27,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-01-18,2,N,Y,2020-02-01,7447 SEPULVEDA BLVD,91405,VAN NUYS,2018,1
239,WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit,555738,7447 SEPULVEDA BLVD,VAN NUYS,91405,2018-11-30,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-12-10,2,N,Y,2020-02-01,7447 SEPULVEDA BLVD,91405,VAN NUYS,2018,1
239,WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit,555738,7447 SEPULVEDA BLVD,VAN NUYS,91405,2018-04-26,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-05-25,2,Y,N,2020-02-01,7447 SEPULVEDA BLVD,91405,VAN NUYS,2018,1
239,WINDSOR TERRACE HEALTH CARE,Los Angeles,CA,For profit,555738,7447 SEPULVEDA BLVD,VAN NUYS,91405,2017-04-18,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-05-17,3,Y,N,2020-02-01,7447 SEPULVEDA BLVD,91405,VAN NUYS,2017,1
240,WOODLAND CARE CENTER,Los Angeles,CA,For profit,056066,7120 CORBIN AVE.,RESEDA,91335,2018-11-07,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-01-18,2,Y,N,2020-02-01,7120 CORBIN AVE,91335,RESEDA,2018,1
240,WOODLAND CARE CENTER,Los Angeles,CA,For profit,056066,7120 CORBIN AVE.,RESEDA,91335,2017-11-09,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-12-08,3,Y,N,2020-02-01,7120 CORBIN AVE,91335,RESEDA,2017,1
241,PINE RIDGE CARE CENTER,Marin,CA,For profit,055850,45 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,2019-05-24,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-07-02,1,Y,N,2020-02-01,45 PROFESSIONAL CTR PKWY,94903,SAN RAFAEL,2019,1
241,PINE RIDGE CARE CENTER,Marin,CA,For profit,055850,45 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,2017-08-23,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-11-28,3,N,Y,2020-02-01,45 PROFESSIONAL CTR PKWY,94903,SAN RAFAEL,2017,1
241,PINE RIDGE CARE CENTER,Marin,CA,For profit,055850,45 PROFESSIONAL CENTER PKWY,SAN RAFAEL,94903,2017-03-24,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",F,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-05-09,3,Y,N,2020-02-01,45 PROFESSIONAL CTR PKWY,94903,SAN RAFAEL,2017,1
242,WINDSOR THE RIDGE REHABILITATION CENTER,Monterey,CA,For profit,555060,350 IRIS DRIVE,SALINAS,93906,2018-05-24,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-06-22,2,Y,N,2020-02-01,350 IRIS DR,93906,SALINAS,2018,1
243,ADVANCED REHAB CENTER OF TUSTIN,Orange,CA,For profit,055330,2210 E. FIRST STREET,SANTA ANA,92705,2019-10-08,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-10-31,1,Y,N,2020-02-01,2210 E FIRST ST,92705,SANTA ANA,2019,1
243,ADVANCED REHAB CENTER OF TUSTIN,Orange,CA,For profit,055330,2210 E. FIRST STREET,SANTA ANA,92705,2018-12-04,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-01-04,2,Y,N,2020-02-01,2210 E FIRST ST,92705,SANTA ANA,2018,1
243,ADVANCED REHAB CENTER OF TUSTIN,Orange,CA,For profit,055330,2210 E. FIRST STREET,SANTA ANA,92705,2018-01-03,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-01-26,3,Y,N,2020-02-01,2210 E FIRST ST,92705,SANTA ANA,2018,1
244,ALAMITOS WEST HEALTH & REHABILITATION,Orange,CA,For profit,056169,,,,,,,,,,,,,,,,,,,,,0
245,"ANAHEIM HEALTHCARE CENTER, LLC",Orange,CA,For profit,055984,501 SOUTH BEACH BLVD.,ANAHEIM,92804,2019-09-16,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-10-16,1,Y,N,2020-02-01,501 S BCH BLVD,92804,ANAHEIM,2019,1
245,"ANAHEIM HEALTHCARE CENTER, LLC",Orange,CA,For profit,055984,501 SOUTH BEACH BLVD.,ANAHEIM,92804,2018-10-17,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-11-16,2,Y,N,2020-02-01,501 S BCH BLVD,92804,ANAHEIM,2018,1
246,FLAGSHIP HEALTHCARE CENTER,Orange,CA,For profit,055121,466 FLAGSHIP ROAD,NEWPORT BEACH,92663,2019-04-15,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-05-30,1,Y,N,2020-02-01,466 FLAGSHIP RD,92663,NEWPORT BEACH,2019,1
246,FLAGSHIP HEALTHCARE CENTER,Orange,CA,For profit,055121,466 FLAGSHIP ROAD,NEWPORT BEACH,92663,2017-11-02,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-12-01,3,Y,N,2020-02-01,466 FLAGSHIP RD,92663,NEWPORT BEACH,2017,1
247,GARDEN GROVE POST ACUTE,Orange,CA,For profit,056145,12882 SHACKELFORD LANE,GARDEN GROVE,92841,2019-05-15,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-06-14,1,Y,N,2020-02-01,12882 SHACKELFORD LN,92841,GARDEN GROVE,2019,1
247,GARDEN GROVE POST ACUTE,Orange,CA,For profit,056145,12882 SHACKELFORD LANE,GARDEN GROVE,92841,2018-06-15,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,E,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-07-13,2,Y,N,2020-02-01,12882 SHACKELFORD LN,92841,GARDEN GROVE,2018,1
248,HUNTINGTON VALLEY HEALTHCARE CENTER,Orange,CA,For profit,055888,8382 NEWMAN AVENUE,HUNTINGTON BEACH,92647,2019-03-05,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2019-04-15,1,Y,N,2020-02-01,8382 NEWMAN AVE,92647,HUNTINGTON BEACH,2019,1
248,HUNTINGTON VALLEY HEALTHCARE CENTER,Orange,CA,For profit,055888,8382 NEWMAN AVENUE,HUNTINGTON BEACH,92647,2018-04-03,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-05-03,2,Y,N,2020-02-01,8382 NEWMAN AVE,92647,HUNTINGTON BEACH,2018,1
248,HUNTINGTON VALLEY HEALTHCARE CENTER,Orange,CA,For profit,055888,8382 NEWMAN AVENUE,HUNTINGTON BEACH,92647,2017-03-03,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0441,"HAVE A PROGRAM THAT INVESTIGATES, CONTROLS AND KEEPS INFECTION FROM SPREADING.",D,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2017-03-24,3,Y,N,2020-02-01,8382 NEWMAN AVE,92647,HUNTINGTON BEACH,2017,1
249,LA HABRA CONVALESCENT HOSPITAL,Orange,CA,For profit,055622,1233 WEST LA HABRA BOULEVARD,LA HABRA,90631,2017-12-18,HEALTH,FALSE,ENVIRONMENTAL DEFICIENCIES,0880,PROVIDE AND IMPLEMENT AN INFECTION PREVENTION AND CONTROL PROGRAM.,F,"DEFICIENT, PROVIDER HAS DATE OF CORRECTION",2018-01-12,2,Y,N,2020-02-01,1233 W LA HABRA BLVD,90631,LA HABRA,2017,1
