agency_name,sub_agency,recipient,assist_type,biz_code,n_row,n_award,sum_row
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,CHILDREN'S HOSPITAL MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,719098
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,CHILDREN'S HOSPITAL OF PITTSBURGH,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,192500
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,CHILDREN'S NATIONAL MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,928183
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,CLAY COUNTY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",BM,1,1,126960
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"CONWAY HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,536359
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,DECATUR COUNTY MEMORIAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",BM,1,1,698603
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"DECKERVILLE COMMUNITY HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,23218
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,DESOTO HOSPITAL ASSOCIATION,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,240390
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"DUNCAN REGIONAL HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,56266
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ELLIS HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,131261
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ERIE COUNTY MEDICAL CENTER CORP.,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",ADX,1,1,98435
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,EXCELSIOR SPRINGS CITY HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",C,1,1,995000
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,FLOATING HOSPITAL INCORPORATED (THE),"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,47658
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,FRANKLIN COUNTY MEMORIAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,49455
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,FRANKLIN COUNTY MEMORIAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",N,1,1,262934
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,GRADY MEMORIAL HOSPITAL CORPORATION,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,727747
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,GREENE COUNTY GENERAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",BR,1,1,60480
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,GREENWICH HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,462797
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,HANCOCK REGIONAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",BEM,1,1,409984
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,HEARTLAND REGIONAL MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,266800
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,HOSPITAL DISTRICT 1 OF MARION COUNTY,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",N,1,1,15941
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,HUDSON VALLEY HOSPITAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,713611
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,JACKSON-MADISON COUNTY GENERAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",D,1,1,110785
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,LABETTE COUNTY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",BEN,1,1,109344
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"LAWRENCE + MEMORIAL HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,384024
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,LEGACY EMANUEL HOSPITAL & HEALTH CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,368912
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,LYNN COUNTY HOSPITAL DISTRICT,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",N,1,1,127980
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MAHASKA COUNTY HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",BNR,1,1,68620
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MAIMONIDES MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,1000000
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MARGARET MARY HEALTH HOSPITAL INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,140357
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MARIETTA MEMORIAL HOSPITAL INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",N,1,1,473159
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MEMORIAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",B,1,1,103457
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MEMORIAL HOSPITAL FOR CANCER & ALLIED DISEASES,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,781831
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,METROPOLITAN HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,356597
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MISSOURI DELTA MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,273522
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MONONGALIA COUNTY GENERAL HOSPITAL COMPANY,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,283396
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MONTEFIORE MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,1000000
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"MOREHOUSE COMMUNITY MEDICAL CENTERS, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,102016
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,MOUNT SINAI HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,862950
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,NESHOBA COUNTY GENERAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",BN,1,1,71564
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"NEW YORK AND PRESBYTERIAN HOSPITAL, THE","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,1000000
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED, MAINTAINING THE HOSPITAL FOR","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",MEX,1,1,596045
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,NIAGARA FALLS MEMORIAL MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,35640
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,NORMAN REGIONAL HOSPITAL AUTHORITY,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",CNX,1,1,915862
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,NORTH BROWARD HOSPITAL DISTRICT,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,1000000
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"NORTH MISSISSIPPI MEDICAL CENTER, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,883702
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,NOT-FOR-PROFIT HOSPITAL CORP,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",N,1,1,535481
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"OUR LADY OF THE LAKE HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,997720
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"PARKVIEW HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,891276
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"SALEM HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,16079
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,SAN FERNANDO COMMUNITY HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,112244
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"SARATOGA HOSPITAL, THE","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,61515
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"SOUTH SHORE HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",EM,1,1,400392
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,SOUTHERN ILLINOIS HOSPITAL SERVICES,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,242600
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"SOUTHERN JERSEY FAMILY MEDICAL CENTERS, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,937755
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ST LUKE'S-ROOSEVELT HOSPITAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,312500
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ST. JOSEPH'S HOSPITAL AND HEALTH CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,124053
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ST. JOSEPH'S UNIVERSITY MEDICAL CENTER INC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,472059
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ST. LUKE'S HOSPITAL OF DULUTH,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",EMX,1,1,299118
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ST. VINCENT CHARITY MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,183195
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,ST. VINCENT GENERAL HOSPITAL DISTRICT,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",D,1,1,2796
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"TANNER MEDICAL CENTER, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,879520
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"TEMPLE UNIVERSITY HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,902290
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,TETON COUNTY HOSPITAL DISTRICT,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",MES,1,1,57499
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,UNIVERISTY OF MISSISSIPPI MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",H,1,1,1000000
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,821882
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,VALLEY PRESBYTERIAN HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,381642
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,WHITE PLAINS HOSPITAL MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,165832
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,YAKIMA VALLEY MEMORIAL HOSPITAL ASSOCIATION,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,390611
FEDERAL COMMUNICATIONS COMMISSION (FCC),FEDERAL COMMUNICATIONS COMMISSION,"YALE NEW HAVEN HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,1,1,1000000
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,CHILDREN'S HOSPITAL OF PHILADELPHIA  THE,PROJECT GRANT (B),M,1,1,30000
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,UNIVERISTY OF MISSISSIPPI MEDICAL CENTER,PROJECT GRANT (B),M,1,1,161710
NATIONAL ENDOWMENT FOR THE ARTS (NEA),NATIONAL ENDOWMENT FOR THE ARTS,PENNSYLVANIA STATE UNIVERSITY HERSHEY MEDICAL CENTER,PROJECT GRANT (B),A,1,1,15000
NATIONAL ENDOWMENT FOR THE ARTS (NEA),NATIONAL ENDOWMENT FOR THE ARTS,VANDERBILT UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),M,1,1,150000
NATIONAL ENDOWMENT FOR THE HUMANITIES (NEH),NATIONAL ENDOWMENT FOR THE HUMANITIES,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,PROJECT GRANT (B),O,1,1,249836
NATIONAL SCIENCE FOUNDATION (NSF),NATIONAL SCIENCE FOUNDATION,CEDARS-SINAI MEDICAL CENTER,PROJECT GRANT (B),Q,1,1,496476
NATIONAL SCIENCE FOUNDATION (NSF),NATIONAL SCIENCE FOUNDATION,RUSH UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),Q,1,1,74955
NATIONAL SCIENCE FOUNDATION (NSF),NATIONAL SCIENCE FOUNDATION,UNIVERISTY OF MISSISSIPPI MEDICAL CENTER,PROJECT GRANT (B),H,1,1,139942
NATIONAL SCIENCE FOUNDATION (NSF),NATIONAL SCIENCE FOUNDATION,"UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.",PROJECT GRANT (B),O,1,1,619043
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,100 CHRISTIANA MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,1199C NATIONAL UNION OF HOSPITAL AND HEALTHCARE EMPLOYEES,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",RM,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"1917 HEIGHTS HOSPITAL, LLC",DIRECT LOAN (E),R,1,1,150000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,360 INTEGRATED MEDICAL CENTER PC,DIRECT LOAN (E),R,1,1,33000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,360 MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,3880 COCONUT CREEK MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,71200
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,3880 COCONUT CREEK MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"A & A MEDICAL CENTER , LLC",DIRECT LOAN (E),R,1,1,26600
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"A CAT HOSPITAL, INC.",DIRECT LOAN (E),R,1,1,95500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,A M MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,8000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,A VACUUM CLEANER HOSPITAL,DIRECT LOAN (E),PR,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,A.E.Z.R. PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,4000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,A+ REHAB MEDICAL CENTER LLC,DIRECT LOAN (E),R,1,1,49500
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,AAA  DIAGNOSTIC  MEDICAL CENTER LLC,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,1000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,"ABIMBOLA ADEWALE,    DBA RAPHA MEDICAL CENTER",DIRECT LOAN (E),PR,1,1,5300
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,ABRAMS MEDICAL CENTER,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,10000
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,ACADEMIC MEDICAL CENTER,GUARANTEED/INSURED LOAN (F),R,1,1,9375
SMALL BUSINESS ADMINISTRATION (SBA),SMALL BUSINESS ADMINISTRATION,ACADEMY PET HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",R,1,1,9000
